"Determinant","Elasticity","Concentration_Index","Absolute_Contribution","Percent_Contribution"
"Household Wealth Score (wscore)",-0.0211,3.851,-0.1134,81.87
"Unimproved / Shared Sanitation",0.003,-0.5047,-0.0021,1.51
"Unimproved Drinking Water",4e-04,-0.4955,-3e-04,0.22
"Solid Biomass Cooking Fuel",-0.0055,-0.2034,0.0016,-1.12
"Maternal Education: Primary",-0.017,-0.2043,0.0048,-3.49
"Maternal Education: Secondary",-0.0455,-0.0832,0.0053,-3.81
"Maternal Education: Higher",-0.1097,0.1933,-0.0295,21.33
"Pre-Monsoon Lean Season",-0.0345,-0.0098,5e-04,-0.34
"Rural Residence",-0.0213,-0.1251,0.0037,-2.68
"Female Child",-0.0234,0.0042,-1e-04,0.1
"Total Erreygers Concentration Index (E)",NA,NA,-0.1385,100
