"Term","Model 2","Model 3","Model 4"
"(Intercept)","0.64 [0.55, 0.74]","0.73 [0.61, 0.88]","0.76 [0.62, 0.93]"
"age_group6-11m","0.91 [0.79, 1.04]","0.91 [0.8, 1.05]","0.91 [0.8, 1.05]"
"age_group12-23m","1.36 [1.21, 1.53]","1.37 [1.22, 1.53]","1.37 [1.22, 1.53]"
"age_group24-35m","1.46 [1.3, 1.64]","1.46 [1.3, 1.64]","1.46 [1.3, 1.64]"
"age_group36-47m","1.28 [1.14, 1.43]","1.28 [1.14, 1.43]","1.28 [1.14, 1.43]"
"age_group48-59m","1.19 [1.06, 1.34]","1.2 [1.07, 1.35]","1.2 [1.07, 1.34]"
"sexFemale","0.94 [0.89, 1]","0.94 [0.89, 1]","0.94 [0.89, 1]"
"maternal_eduPrimary","0.9 [0.79, 1.02]","0.94 [0.83, 1.06]","0.93 [0.83, 1.06]"
"maternal_eduSecondary","0.75 [0.67, 0.85]","0.82 [0.73, 0.93]","0.82 [0.73, 0.93]"
"maternal_eduHigher","0.6 [0.53, 0.67]","0.72 [0.64, 0.81]","0.72 [0.64, 0.81]"
"unimproved_san",NA,"1.08 [0.96, 1.23]","1.09 [0.96, 1.24]"
"solid_fuel",NA,"1.01 [0.93, 1.09]","1.01 [0.93, 1.1]"
"lean_season",NA,"0.96 [0.88, 1.05]","0.96 [0.88, 1.05]"
"wealth_quintileSecond",NA,"0.88 [0.81, 0.96]","0.89 [0.79, 1.01]"
"wealth_quintileMiddle",NA,"0.75 [0.69, 0.82]","0.7 [0.62, 0.8]"
"wealth_quintileFourth",NA,"0.7 [0.63, 0.77]","0.7 [0.61, 0.8]"
"wealth_quintileRichest",NA,"0.49 [0.43, 0.55]","0.51 [0.43, 0.59]"
"dist_san_def",NA,NA,"0.61 [0.19, 1.94]"
"wealth_quintileSecond:dist_san_def",NA,NA,"0.8 [0.2, 3.26]"
"wealth_quintileMiddle:dist_san_def",NA,NA,"3.29 [0.69, 15.59]"
"wealth_quintileFourth:dist_san_def",NA,NA,"0.92 [0.17, 4.95]"
"wealth_quintileRichest:dist_san_def",NA,NA,"0.33 [0.04, 3.04]"
