"district","n_unweighted","stunting_prev","wasting_prev","underwt_prev","ciaf_prev","triple_prev"
"Sylhet",393,37.4,12.1,28.6,49,3.8
"Shariatpur",335,31,14.3,27.9,47.1,3.9
"Sunamganj",434,36.4,12,35.5,46.7,6.4
"Naogaon",212,27.7,20.2,29.6,45.5,4.9
"Cox's bazar",510,30.6,14,27.3,43.3,4.6
"Patuakhali",282,27.9,14.1,26.4,43.3,2.8
"Barguna",293,26.6,13.6,24.7,42.8,1.2
"Netrakona",335,30.2,12.4,30.2,42,5.9
"Bagerhat",275,26.6,14.4,28.9,41.5,4.1
"Bhola",399,32.2,11.6,21.9,41.3,4.5
"Moulvibazar",318,26.1,16.1,30.6,40.8,6.2
"Chittagong",742,26.2,17.6,27.9,40.5,6.1
"Noakhali",475,28.6,10.9,24.6,40.3,2.5
"Sherpur",320,25.4,14.8,27.5,40.2,4.1
"Rangpur",303,28.4,11.5,28.8,40.1,4.6
"Feni",426,26,15.2,23.7,39,4.5
"Habiganj",402,25.1,15.6,24.7,39,5.2
"Jamalpur",344,25.6,12,25.4,39,3.9
"Comilla",414,25.8,12,23.2,38.9,3.4
"Jessore",268,23.6,13.9,27.7,38.5,4.1
"Bandarban",408,22.8,16.3,30.3,37.8,7
"Kishoreganj",385,24.4,12.7,26.6,37.5,4.1
"Kurigram",330,24.1,13.1,24.2,37.5,3.3
"Tangail",268,22.4,14.4,23,37.5,2.7
"Thakurgaon",358,21.1,16.1,22.5,37.4,3.7
"Gopalganj",370,28.2,9.7,22.6,37,3.5
"Rajshahi",285,20.3,19.6,27.8,37,6
"Dinajpur",323,22.7,12.9,24.6,36.8,4.3
"Faridpur",330,22,16.6,24.1,36.8,4.5
"Sirajganj",320,23.7,13.6,23.4,36.7,4.3
"Joypurhat",265,19.3,18.5,23.5,36.5,5.5
"Munshiganj",289,26.4,8.2,23.5,36.3,2.8
"Nilphamari",377,22.1,16.5,27.6,36.3,5.7
"Panchagarh",355,23,12.5,22.4,36,4.1
"Jhalokati",305,23,12.7,25.2,35.8,2.9
"Brahamanbaria",405,27.3,11.4,18.8,35.7,4.8
"Chapainababganj",317,23.1,13.1,21.8,35.2,4.2
"Manikganj",271,26.3,6.3,15.2,34.9,1.3
"Mymensingh",337,23,11.1,26.3,34.9,2.9
"Lalmonirhat",380,21.6,12.3,24,34.8,4.9
"Madaripur",355,22.3,12.3,15.3,34.8,1.5
"Chandpur",403,20.5,14.5,23,34.7,3.5
"Rangamati",327,21.5,14,23.2,34.5,3.4
"Chuadanga",316,19.4,16.6,22.4,34.4,4.7
"Natore",274,22.7,15.2,20.7,34.4,5.6
"Khulna",283,21.9,15,23.6,34.1,5.2
"Gaibandha",299,21.7,13.9,21.7,33.6,5.7
"Pabna",297,24.1,11.2,23.9,33.6,4.6
"Magura",328,24.7,11.2,21.9,33.5,5
"Barisal",313,20.6,14,21.9,33.3,3.5
"Bogra",295,23.3,11.7,20.9,32.8,5.1
"Narsingdi",368,23.1,12.5,19.7,32.8,3.9
"Narail",372,19.9,12.5,24,32.4,3.3
"Rajbari",301,21.7,9.4,16.8,32.4,1.3
"Pirojpur",307,19.5,11,20.5,32,2.9
"Satkhira",280,20.2,10.5,19.8,30.6,3.2
"Gazipur",299,18.9,10.8,16.4,30.1,2.5
"Dhaka",835,20,9.3,15.2,29.9,2.2
"Lakshmipur",449,18.5,10.5,21.3,29.6,3.3
"Narayanganj",306,18.1,11.9,13.5,29.4,3
"Khagrachhari",360,20.4,10.4,18.4,29.3,3.5
"Jhenaidah",309,17.2,11.3,18.2,28,4.3
"Meherpur",248,19.2,9.2,15.8,27.5,2.4
"Kushtia",306,17,10.9,18.8,26.8,3.5
